IDProducto,NombreProducto,Descripcion,Categoria,PrecioProducto
1,EDP Balance By Dadatina x 70 Ml,"EDP Balance By Dadatina x 70 Ml, Dadatina, 70ml.",Perfumeria,47900
2,Boos Intense Black EDP x 90 Ml,"Boos Intense Black EDP x 90 Ml, Boos, 90ml.",Perfumeria,52927
3,Edt David Beckham Blue x 100 ml,"Boos Intense Black EDP x 90 Ml, DAVID BECKHAM, 90ml.",Perfumeria,52675
4,Natural Spirit Tropical Paradise Body Splash Tamaño 250 ml,"Natural Spirit Tropical Paradise BS x 250 ml, Natural Spirit, 250ml.",Perfumeria,20112
5,Wellington Fragancia Shine Edp For Her 100 ml,"Wellington Polo Club Shine EDP x 100 Ml, Wellington Polo Club, 100ml.",Perfumeria,"41601,24"
6,Amarillo Edp Shakira 80 ml,"Shakira Amarillo EDP x 80 Ml, Shakira, 80ml.",Perfumeria,45045
7,David Beckham Bold Instinct Edp Tamaño 75 ml,"David Beckham Bold Instinct EDP x 75 Ml, David Beckham, 75ml.",Perfumeria,"55401,64"
8,Edp Adidas Chill Zone x 100 ml,"Adidas Vibes Chill Zone EDP x 100 Ml, Adidas, 100ml.",Perfumeria,45060
9,Edp Adidas Get Comfy x 100 ml,"Adidas Vibes Get Comfy EDP x 100 Ml, Adidas, 100ml.",Perfumeria,45060
10,EDP Antonio Banderas The Icon Mujer x 100 Ml,"Antonio Banderas The Icon EDP x 100 Ml, Banderas, 100ml.",Perfumeria,"53499,99"
11,"Pret a Porter Deo Splash Presentación 75 ml","Pret a Porter Original DS x 75 Ml, Pret a Porter, 75ml.",Perfumeria,"15045,28"
12,Pret a Porter Fragancia Original Edt 100 ml Presentación,"Pret a Porter Original EDT x 100 Ml, Pret a Porter, 100ml.",Perfumeria,"34115,08"
13,"Prêt à Porter London Eau de Parfum For Men x 100ml","Pret a Porter London EDP x 100 Ml, Pret a Porter, 100ml.",Perfumeria,"31104,18"
14,Boos Fragancia Black Extreme Edt For Women 100 ml,"Boos Black Extreme EDT x 100 Ml, Boos, 100ml.",Perfumeria,"53351,21"
15,Boos Fragancia Intense Attraction Edp For Men 90 ml,"Boos Intense Attraction EDP x 90 Ml, Boos, 90ml.",Perfumeria,"52927,79"
16,"Boos Fragancia Pink Extreme Edp 100 ml","Boos Pink Extreme EDP x 100 Ml, Boos, 100ml.",Perfumeria,"53351,21"
17,Boos Fragancia Siganture For Her Edp 100 ml,"Boos Signature EDP x 100 Ml, Boos, 100ml.",Perfumeria,"51022,38"
18,Boos Fragancia Signature Prive Edp For Men 100 ml Presentación (Ml) x 100 ml,"Boos Signature Prive EDP x 100 Ml, Boos, 100ml.",Perfumeria,"54503,92"
19,Boos Red Eau de Toilette (EDT) x 100ml,"Boos Red EDT x 100 Ml, Boos, 100ml.",Perfumeria,"39166,57"
